subject,time_spent,recall_score,previous_interval,next_study_interval
Physics,54.4,2.14,1.43,3.16
History,40.71,2.57,4.91,11.23
Math,70.12,4.31,3.18,8.06
CS,45.43,3.73,1.72,4.24
Chemistry,103.3,3.6,3.17,7.76
Math,83.81,3.81,0.16,1.0
Math,64.25,3.59,0.6,1.47
Math,80.54,4.74,2.96,7.63
Biology,82.12,3.62,3.08,7.55
CS,48.72,2.04,4.46,9.76
Geography,43.68,5.0,1.55,4.03
Literature,61.56,3.87,3.85,9.56
CS,77.23,2.91,3.46,8.12
Biology,62.78,2.25,9.92,22.11
Literature,28.46,3.9,0.73,1.82
CS,43.94,3.38,2.41,5.83
Math,58.52,5.0,2.76,7.18
Chemistry,58.49,3.15,19.82,47.24
Literature,99.45,2.66,0.67,1.54
History,32.28,4.4,2.22,5.65
History,70.11,4.43,1.27,3.24
Physics,89.78,3.67,2.24,5.51
Literature,105.43,4.18,0.79,1.99
Chemistry,51.91,3.46,0.15,1.0
Geography,69.83,3.73,2.55,6.29
Biology,71.4,4.66,1.23,3.16
Math,63.91,4.13,0.6,1.51
Physics,58.02,3.33,1.17,2.82
History,68.72,4.85,0.15,1.0
Biology,9.36,1.14,9.01,1.0
Biology,73.64,5.0,2.61,6.79
Math,62.52,1.79,5.06,1.0
Geography,55.55,2.87,1.65,3.86
Geography,100.94,3.46,7.01,17.03
Literature,46.5,3.35,1.98,4.78
History,51.94,4.51,2.56,6.54
Geography,99.83,2.44,2.03,4.6
Chemistry,43.36,3.76,3.96,9.78
Geography,49.0,2.92,2.51,5.89
Biology,57.06,3.8,0.95,2.35
Math,76.81,3.44,0.47,1.14
Chemistry,64.16,3.59,2.8,6.85
Literature,34.15,2.95,2.02,4.75
History,49.36,2.99,0.3,1.0
Literature,47.85,3.79,1.51,3.74
Biology,58.46,4.44,2.17,5.53
Chemistry,68.52,2.9,5.26,12.33
Chemistry,68.36,2.63,0.24,1.0
Chemistry,24.48,4.11,1.29,3.24
Biology,81.28,3.47,5.19,12.62
Biology,65.05,4.33,3.14,7.97
Literature,87.69,2.59,1.03,2.36
Physics,68.88,1.72,5.6,1.0
Literature,82.03,2.97,2.04,4.8
History,69.33,2.73,2.07,4.79
Math,86.92,3.42,11.26,27.29
Chemistry,70.45,2.86,8.82,20.61
Physics,58.04,4.24,1.33,3.36
Math,105.45,3.21,0.45,1.08
Physics,77.78,3.65,1.18,2.9
Geography,71.47,3.66,0.09,1.0
Geography,34.47,3.69,0.06,1.0
CS,34.23,3.48,1.51,3.67
Geography,65.85,4.01,8.49,21.24
Literature,62.91,2.7,6.15,14.21
Geography,47.72,4.9,2.15,5.57
Biology,62.82,3.26,2.5,6.0
Chemistry,91.77,2.19,0.02,1.0
Literature,73.91,3.69,0.73,1.8
Math,37.18,2.65,0.08,1.0
CS,57.77,4.17,4.21,10.61
CS,43.9,5.0,0.47,1.22
CS,52.25,2.71,6.1,14.1
Math,51.73,3.83,3.09,7.66
Math,50.45,1.74,0.78,1.0
Math,34.9,3.95,0.51,1.27
Math,57.45,2.61,2.96,6.79
CS,48.79,2.88,6.93,16.22
CS,1.41,2.4,3.8,8.58
Physics,101.06,4.23,1.29,3.26
Literature,81.78,4.51,2.66,6.8
Chemistry,52.47,3.52,1.12,2.73
Geography,60.38,2.64,21.21,48.78
Geography,36.57,5.0,4.14,10.76
Biology,93.91,2.75,2.86,6.63
CS,97.95,1.34,1.65,1.0
Biology,63.13,3.96,2.89,7.21
Literature,80.47,2.4,1.25,2.82
Literature,63.51,4.49,0.09,1.0
Biology,33.27,3.12,1.51,3.59
CS,51.76,4.1,8.0,20.09
Biology,62.64,4.9,2.95,7.65
Geography,50.91,2.29,0.26,1.0
Physics,55.63,2.93,6.49,15.24
Geography,58.17,3.42,0.94,2.28
History,58.38,5.0,0.84,2.18
CS,61.05,2.84,1.06,2.47
CS,38.79,2.91,2.58,6.05
Chemistry,45.66,3.98,2.36,5.89
Math,34.31,2.92,2.03,4.76
History,79.56,3.65,3.79,9.31
Literature,17.89,1.95,1.14,1.0
CS,83.07,5.0,4.57,11.88
Biology,87.73,2.15,0.58,1.28
History,53.96,3.18,4.58,10.94
Chemistry,7.94,3.47,3.27,7.95
Literature,52.77,5.0,3.45,8.97
Math,58.72,2.18,1.97,4.36
Math,39.79,5.0,3.3,8.58
Chemistry,49.7,4.26,0.25,1.0
Chemistry,90.6,3.92,5.72,14.24
Biology,73.3,2.52,0.17,1.0
CS,41.51,4.07,0.48,1.2
Math,28.05,2.78,2.58,6.0
Literature,53.46,4.77,4.03,10.4
History,55.73,2.53,0.24,1.0
Literature,69.92,3.39,7.61,18.41
Physics,49.29,2.94,10.9,25.62
Physics,70.23,2.51,2.79,6.35
Chemistry,98.7,4.24,1.97,4.98
Biology,76.31,4.04,4.06,10.17
Physics,59.04,4.71,1.19,3.06
Math,56.34,1.72,2.04,1.0
Literature,52.87,4.56,7.44,19.05
Literature,83.61,5.0,9.35,24.31
Chemistry,47.45,3.05,7.85,18.59
CS,60.9,5.0,0.91,2.37
CS,61.02,3.24,0.79,1.89
History,49.96,2.13,1.06,2.34
Chemistry,32.55,3.19,1.75,4.18
Geography,66.46,4.55,1.13,2.89
History,58.78,2.66,1.41,3.25
Geography,70.0,2.9,2.91,6.82
CS,49.33,4.09,4.31,10.82
Chemistry,84.42,3.5,3.99,9.72
Geography,42.46,4.08,5.05,12.67
Chemistry,94.24,3.74,0.1,1.0
Chemistry,25.05,3.98,0.15,1.0
CS,68.7,3.07,4.67,11.07
History,69.51,3.73,2.28,5.62
History,44.09,2.57,2.59,5.92
Chemistry,68.49,4.79,0.16,1.0
Physics,85.59,2.87,0.88,2.06
Biology,15.66,4.63,3.05,7.83
CS,70.05,3.27,5.88,14.12
Biology,10.13,3.7,7.47,18.39
Biology,40.69,3.01,2.08,4.91
History,92.58,2.48,2.37,5.38
History,48.36,1.76,5.37,1.0
Physics,36.52,2.44,2.31,5.23
Biology,56.04,3.18,2.18,5.21
Biology,101.36,3.71,7.06,17.39
Chemistry,23.37,4.51,4.68,11.96
History,38.97,3.05,7.19,17.03
Biology,89.95,2.62,0.74,1.7
Literature,97.15,2.06,2.23,4.89
Physics,57.93,3.98,5.54,13.84
Geography,35.22,4.88,0.35,1.0
Literature,101.92,4.77,4.75,12.26
Literature,91.89,4.21,0.61,1.54
Geography,73.58,4.14,4.95,12.46
CS,43.75,5.0,2.84,7.38
CS,59.02,3.83,0.64,1.59
Physics,56.79,4.15,1.92,4.83
Literature,66.62,3.18,3.44,8.22
Biology,89.02,2.14,3.01,6.64
History,77.59,2.82,1.67,3.89
Physics,38.45,3.49,6.89,16.77
Chemistry,87.53,3.56,2.2,5.38
Geography,66.26,5.0,2.11,5.49
Literature,73.74,3.58,0.19,1.0
Physics,89.33,4.68,7.66,19.7
Math,37.77,3.06,0.58,1.37
Math,59.28,3.19,2.25,5.38
CS,49.37,2.17,4.88,10.8
Geography,28.64,2.76,0.73,1.69
History,66.93,4.03,2.25,5.63
Biology,110.23,3.51,0.83,2.02
History,23.2,4.44,4.28,10.91
History,59.35,3.68,2.49,6.12
History,72.81,3.15,5.81,13.85
Geography,62.46,5.0,6.75,17.55
History,57.74,3.41,3.14,7.61
Chemistry,34.02,4.66,3.88,9.97
Geography,64.66,3.1,2.39,5.68
Chemistry,44.86,4.21,1.46,3.69
Geography,16.2,4.43,3.13,7.97
CS,83.89,3.71,7.17,17.66
Physics,79.17,1.15,1.62,1.0
Math,61.03,3.52,1.13,2.75
History,64.58,4.73,1.48,3.81
CS,81.49,4.03,1.71,4.28
Physics,64.49,3.95,0.23,1.0
Math,78.08,1.78,2.07,1.0
Literature,54.05,2.78,2.05,4.76
Biology,86.24,3.91,2.66,6.62
Chemistry,66.42,3.91,1.35,3.36
Literature,63.88,4.71,2.85,7.34
Geography,34.6,3.36,6.32,15.26
Math,65.74,3.91,9.33,23.22
Literature,43.36,3.52,2.63,6.41
Biology,47.23,2.51,0.13,1.0
CS,43.69,1.24,10.44,1.0
Math,38.68,3.93,3.67,9.14
Literature,102.5,3.67,1.23,3.02
Chemistry,86.63,2.88,0.48,1.12
Chemistry,98.41,1.88,0.46,1.0
Physics,35.54,4.13,0.55,1.38
Literature,61.43,3.23,0.14,1.0
History,34.13,4.06,6.97,17.47
Literature,46.09,5.0,2.33,6.06
CS,41.64,1.36,3.61,1.0
Math,84.79,2.8,5.28,12.29
Math,52.08,3.29,4.7,11.3
CS,81.37,4.95,6.43,16.69
Literature,72.08,1.86,10.26,1.0
CS,106.07,5.0,1.73,4.5
Biology,30.41,3.64,9.01,22.11
Geography,85.18,3.4,3.85,9.32
CS,82.93,3.3,0.22,1.0
Chemistry,40.53,3.06,3.44,8.15
CS,80.14,4.55,3.48,8.91
Math,66.72,2.43,7.09,16.04
Chemistry,55.45,3.85,1.4,3.47
Math,43.52,3.12,2.64,6.28
Physics,45.62,2.74,0.04,1.0
History,101.0,5.0,1.21,3.15
Math,60.01,3.92,0.19,1.0
Chemistry,75.64,4.11,2.21,5.55
Physics,44.18,4.64,5.1,13.1
Math,44.4,2.08,0.69,1.52
Biology,81.64,5.0,2.25,5.85
CS,33.01,1.0,0.68,1.0
History,51.7,2.73,0.39,1.0
Math,60.68,3.04,2.15,5.09
Physics,62.23,4.08,0.25,1.0
Biology,56.42,3.72,2.66,6.56
Literature,67.92,3.33,0.1,1.0
Physics,73.86,3.49,0.34,1.0
CS,74.69,2.52,2.4,5.47
Physics,40.28,2.0,2.69,1.0
Biology,54.32,4.23,0.09,1.0
Physics,83.9,4.19,2.56,6.46
Biology,77.89,5.0,5.47,14.22
Math,32.54,2.71,3.84,8.88
Geography,67.03,4.19,0.42,1.06
Biology,20.44,3.22,2.69,6.44
Biology,60.94,4.69,3.35,8.62
History,97.96,4.52,0.11,1.0
Biology,41.04,3.71,5.8,14.29
Biology,43.31,3.16,7.1,16.93
Literature,75.28,4.46,5.7,14.54
Geography,29.14,4.15,5.22,13.14
Math,47.34,2.82,4.1,9.56
CS,71.93,2.17,3.01,6.66
History,47.31,3.21,3.41,8.16
Literature,55.28,5.0,4.93,12.82
Chemistry,74.88,4.65,3.26,8.38
Geography,68.43,2.39,1.19,2.68
Math,65.34,2.33,1.41,3.16
Math,53.22,4.77,6.82,17.6
Chemistry,67.4,2.36,0.05,1.0
CS,57.53,4.01,3.6,9.0
Biology,69.16,2.88,9.29,21.74
Literature,50.06,5.0,3.67,9.54
Physics,56.35,2.73,15.3,35.42
History,40.2,4.64,3.49,8.96
Physics,59.3,3.68,0.1,1.0
Chemistry,43.78,3.75,5.26,12.99
Math,37.72,1.53,1.0,1.0
CS,65.17,1.3,1.77,1.0
Math,64.25,3.28,1.12,2.69
History,75.66,3.75,0.94,2.32
Math,51.38,2.37,1.69,3.8
Math,68.16,2.41,1.43,3.23
History,71.02,4.06,3.01,7.55
Literature,68.9,4.06,5.03,12.61
Literature,43.49,3.36,1.06,2.56
History,62.99,4.28,0.72,1.82
CS,67.28,2.33,3.3,7.4
Chemistry,60.14,3.14,3.33,7.93
Geography,18.27,5.0,6.94,18.04
Math,63.21,3.57,0.05,1.0
CS,104.25,3.63,5.75,14.1
Math,52.8,5.0,2.21,5.75
Geography,45.44,2.1,2.91,6.4
Chemistry,67.47,4.3,0.29,1.0
Literature,66.25,5.0,1.7,4.42
CS,83.85,3.18,0.77,1.84
Biology,34.84,4.36,0.88,2.24
Biology,74.63,2.52,2.1,4.79
Geography,71.81,2.81,5.02,11.69
Biology,57.16,3.88,4.09,10.16
Literature,66.77,4.3,2.68,6.79
Geography,80.59,4.62,2.33,5.98
Literature,77.45,5.0,1.67,4.34
Chemistry,37.14,3.43,10.8,26.19
Math,76.4,4.69,2.46,6.33
Chemistry,58.71,3.16,0.88,2.1
Chemistry,61.46,4.4,0.78,1.98
Literature,61.46,3.71,2.84,7.0
Geography,57.0,3.95,2.22,5.54
Geography,83.83,3.92,0.02,1.0
Biology,58.33,1.9,5.32,1.0
Physics,37.61,2.38,3.65,8.22
Math,52.13,3.6,3.25,7.96
Literature,63.57,1.81,0.21,1.0
Biology,84.58,4.33,1.35,3.43
CS,72.06,4.37,8.22,20.89
Physics,42.99,3.83,5.95,14.75
Physics,109.7,2.38,1.01,2.28
Literature,65.3,4.88,0.51,1.32
History,85.51,5.0,1.79,4.65
Math,56.97,3.65,1.32,3.24
Physics,70.67,4.01,3.44,8.6
Literature,76.79,3.7,10.18,25.07
Literature,84.36,4.03,1.35,3.38
Biology,81.15,3.38,0.19,1.0
CS,77.44,3.47,6.84,16.63
History,53.7,4.41,0.12,1.0
Math,48.57,5.0,9.16,23.82
Geography,66.65,2.1,3.28,7.22
Chemistry,78.66,3.4,8.53,20.65
CS,55.55,2.32,0.67,1.5
CS,81.3,5.0,0.12,1.0
Biology,89.05,2.91,2.01,4.71
Geography,41.67,2.06,1.8,3.95
Physics,43.26,4.14,1.21,3.04
Physics,57.19,5.0,9.49,24.67
Biology,66.15,4.16,5.19,13.07
Literature,49.51,3.7,3.25,8.0
Physics,87.04,3.91,0.53,1.32
History,68.48,4.91,3.98,10.32
Math,60.79,2.63,3.89,8.94
CS,31.28,3.39,1.66,4.02
CS,33.68,3.05,7.76,18.38
History,65.62,2.33,0.55,1.23
Geography,17.35,3.17,0.93,2.22
Physics,80.25,4.61,0.2,1.0
CS,56.84,4.07,4.76,11.94
Chemistry,124.86,4.14,2.92,7.35
Geography,106.16,3.65,1.13,2.77
Math,56.37,4.02,0.54,1.35
Math,57.87,2.7,0.12,1.0
CS,79.91,3.19,0.55,1.31
Biology,94.06,3.69,1.81,4.45
Geography,27.24,3.78,0.85,2.1
CS,24.27,3.82,0.9,2.23
Biology,47.56,3.36,6.25,15.09
CS,71.65,3.12,2.17,5.16
Chemistry,69.94,5.0,3.92,10.19
Geography,81.4,4.41,0.11,1.0
Literature,36.01,3.91,1.36,3.39
Math,13.68,3.27,1.96,4.71
CS,77.16,3.05,0.62,1.47
Chemistry,43.44,3.37,0.38,1.0
Biology,19.63,3.79,6.13,15.17
Biology,62.9,1.62,8.41,1.0
Math,75.86,1.93,0.25,1.0
History,57.56,2.86,1.29,3.01
CS,50.84,3.71,9.53,23.48
Geography,56.81,3.26,0.26,1.0
Physics,52.59,4.98,3.1,8.06
Biology,33.04,2.02,10.75,23.48
Geography,45.71,2.75,11.48,26.62
Geography,70.43,5.0,1.91,4.97
Literature,66.43,3.63,0.53,1.3
Geography,63.36,4.38,0.68,1.73
Geography,40.1,5.0,6.61,17.19
Literature,56.37,2.81,7.28,16.95
Biology,16.46,3.4,2.81,6.8
Geography,63.57,3.23,4.36,10.45
History,88.58,1.55,4.04,1.0
History,30.52,3.19,3.25,7.77
Chemistry,48.28,4.38,5.27,13.4
Literature,66.58,4.04,3.47,8.69
Chemistry,85.06,4.12,2.29,5.76
Literature,51.04,3.12,0.81,1.93
CS,46.15,2.84,4.09,9.55
CS,20.62,4.77,1.92,4.95
Geography,62.07,3.0,1.05,2.48
Physics,100.84,3.79,4.86,12.02
CS,65.55,3.66,3.58,8.8
Physics,59.55,4.96,8.31,21.58
CS,66.44,4.47,0.54,1.38
Math,59.78,2.2,3.14,6.97
CS,43.74,2.31,0.84,1.88
Chemistry,76.47,4.08,7.02,17.62
Biology,64.52,3.44,0.31,1.0
Geography,60.35,3.04,3.2,7.57
Chemistry,40.49,4.52,4.7,12.02
Biology,86.07,3.69,1.32,3.25
History,73.29,3.55,9.25,22.59
Chemistry,48.94,4.28,5.71,14.46
History,80.04,3.12,1.05,2.5
Physics,50.05,5.0,0.02,1.0
Physics,44.36,2.71,1.06,2.45
Math,44.81,4.16,0.99,2.49
CS,24.58,4.93,6.62,17.17
Chemistry,69.43,2.12,10.24,22.57
History,23.38,3.16,0.22,1.0
Biology,35.43,4.64,1.91,4.91
Physics,18.49,4.66,2.38,6.12
CS,58.28,3.33,0.29,1.0
Physics,56.99,2.77,1.42,3.3
Biology,53.47,4.46,1.14,2.91
CS,39.15,4.68,2.3,5.92
CS,36.56,2.34,3.25,7.3
History,69.29,2.3,3.65,8.17
History,48.99,3.73,0.44,1.09
Chemistry,66.33,4.13,5.03,12.65
Chemistry,42.3,3.2,3.4,8.13
Literature,63.62,4.18,6.6,16.64
Geography,86.07,2.79,1.79,4.16
Literature,71.72,1.39,6.73,1.0
Math,51.75,3.08,6.02,14.28
Physics,65.14,3.56,1.73,4.23
Chemistry,55.19,3.22,1.44,3.45
History,60.16,2.34,8.1,18.19
Biology,53.49,1.68,3.77,1.0
History,56.71,2.99,7.9,18.63
Physics,64.24,4.4,4.78,12.16
Literature,40.13,4.76,2.82,7.27
History,39.68,4.69,0.37,1.0
Geography,32.23,2.68,1.03,2.38
Math,27.99,2.35,10.41,23.4
Physics,35.65,4.0,1.15,2.88
Literature,63.19,4.14,0.29,1.0
Geography,42.14,3.9,3.69,9.18
Biology,70.27,1.49,3.97,1.0
Literature,60.69,2.63,1.01,2.32
CS,20.63,3.47,1.06,2.58
Geography,73.1,3.99,1.9,4.75
Geography,76.22,4.27,0.07,1.0
Math,40.12,3.64,4.67,11.46
Physics,68.4,3.83,1.14,2.83
Biology,42.87,3.58,5.77,14.11
Math,61.95,4.19,4.87,12.28
Literature,34.71,3.81,3.25,8.05
Math,24.14,3.57,1.18,2.88
Geography,52.34,3.23,2.18,5.22
Physics,57.53,3.58,1.77,4.33
Chemistry,52.05,3.98,1.24,3.1
Math,36.32,3.77,5.65,13.96
CS,52.0,3.88,1.98,4.92
Math,65.39,4.84,5.36,13.86
Literature,59.1,3.77,0.33,1.0
Literature,63.65,2.85,0.46,1.07
Biology,46.6,4.38,11.36,28.89
Literature,83.43,2.13,2.66,5.87
History,36.48,2.42,2.14,4.84
Physics,69.75,3.84,2.22,5.51
Physics,83.64,4.02,0.73,1.83
Chemistry,69.62,2.25,3.81,8.49
Chemistry,55.95,3.12,0.27,1.0
Physics,49.43,2.89,2.56,6.0
CS,80.72,3.01,2.54,6.0
Chemistry,31.54,4.44,7.37,18.79
Biology,40.6,4.21,2.24,5.65
Literature,52.05,3.48,0.44,1.07
Physics,84.75,2.95,2.55,6.0
Geography,67.6,2.15,0.29,1.0
Chemistry,40.64,4.92,0.68,1.76
Physics,53.79,4.09,0.09,1.0
History,47.71,2.79,2.16,5.02
Math,45.8,4.22,0.26,1.0
Literature,79.58,3.43,1.9,4.61
Physics,32.57,3.21,8.11,19.4
Math,92.18,3.94,3.82,9.52
Chemistry,76.56,2.76,0.24,1.0
Math,81.82,3.16,0.76,1.81
Literature,50.74,3.62,3.36,8.24
Physics,57.0,3.0,6.75,15.93
History,31.34,4.17,0.1,1.0
CS,49.51,5.0,5.02,13.05
Chemistry,69.87,2.75,2.48,5.75
Physics,85.92,1.83,2.37,1.0
Literature,37.86,1.5,9.5,1.0
Chemistry,52.69,3.35,4.13,9.97
Biology,56.97,2.84,5.69,13.28
Math,32.08,3.71,1.31,3.23
CS,71.83,3.63,2.42,5.94
Literature,45.52,1.9,2.87,1.0
Biology,56.09,1.69,1.16,1.0
Geography,50.96,3.8,2.53,6.26
Physics,44.21,3.64,0.81,1.99
History,59.86,3.07,0.46,1.09
Chemistry,55.69,1.84,1.41,1.0
Math,52.56,3.97,4.03,10.06
Chemistry,45.43,4.77,7.44,19.2
CS,66.39,3.78,1.84,4.55
Physics,93.07,2.65,3.09,7.11
Chemistry,62.8,3.54,0.33,1.0
Math,79.92,2.13,7.04,15.53
Physics,32.2,4.56,2.52,6.45
Chemistry,63.16,3.58,4.55,11.13
History,38.05,1.73,4.75,1.0
Literature,30.46,3.2,0.89,2.13
Physics,45.21,3.96,2.26,5.64
Literature,83.84,3.17,9.69,23.13
Geography,79.0,3.22,0.28,1.0
Physics,64.86,2.28,3.45,7.71
History,29.35,4.07,9.83,24.66
Literature,56.07,2.85,1.07,2.5
Biology,66.03,1.34,5.93,1.0
Math,63.51,3.13,8.14,19.38
Biology,23.12,4.48,4.12,10.52
Chemistry,42.19,3.11,0.79,1.88
History,58.72,5.0,1.22,3.17
Biology,70.73,3.93,0.11,1.0
Physics,16.08,3.84,5.34,13.24
Chemistry,56.76,3.37,5.68,13.73
Chemistry,62.86,3.43,3.0,7.28
Biology,76.99,3.24,1.3,3.12
Geography,73.86,3.2,0.24,1.0
Biology,71.65,4.03,4.2,10.52
Geography,44.0,2.56,3.89,8.89
History,21.84,2.42,7.31,16.52
Math,52.14,2.38,3.93,8.85
Biology,80.03,5.0,5.29,13.75
CS,87.87,4.03,4.11,10.29
Geography,74.21,3.8,2.99,7.4
Biology,68.59,2.44,1.67,3.78
Literature,67.59,4.12,6.97,17.52
Physics,48.88,3.38,3.16,7.64
CS,57.4,3.71,1.52,3.74
CS,93.38,2.52,0.26,1.0
Geography,41.15,3.66,1.03,2.53
Literature,92.3,3.08,2.35,5.58
Literature,53.56,2.73,0.97,2.25
Chemistry,86.51,4.23,0.75,1.89
Geography,31.86,1.96,2.25,1.0
Math,71.72,4.06,0.56,1.4
Physics,45.26,4.18,4.83,12.18
History,31.69,2.62,1.99,4.57
CS,64.37,2.68,2.56,5.91
History,80.19,3.28,0.48,1.15
Biology,43.1,3.78,1.18,2.92
Biology,30.02,3.35,1.58,3.81
History,58.16,3.93,4.95,12.33
Biology,58.25,5.0,4.41,11.47
Math,70.97,2.99,0.76,1.79
Literature,78.99,1.78,2.87,1.0
Biology,58.81,4.33,0.84,2.13
Chemistry,97.11,5.0,13.33,34.66
Biology,64.48,3.89,9.12,22.68
Physics,53.07,2.41,2.49,5.62
Math,27.77,3.38,3.6,8.7
Physics,54.75,2.38,4.85,10.93
Physics,53.27,4.14,3.83,9.64
Chemistry,79.21,2.15,3.61,7.98
Math,69.25,3.2,9.55,22.84
Math,36.41,2.5,2.72,6.19
Geography,63.45,3.63,3.03,7.43
Math,73.43,3.13,5.68,13.52
Math,90.56,3.68,3.32,8.17
Math,77.75,3.52,3.96,9.65
Chemistry,75.22,2.51,0.8,1.82
Biology,61.2,4.13,1.39,3.5
Geography,67.77,3.45,0.48,1.17
Physics,84.99,2.51,2.11,4.8
Math,33.34,5.0,1.82,4.73
CS,53.01,3.98,17.59,43.93
Biology,44.55,3.35,2.83,6.83
Biology,67.58,4.92,4.63,12.01
Physics,84.6,5.0,1.22,3.17
Chemistry,48.06,3.35,5.34,12.89
History,12.19,3.85,2.86,7.1
History,51.76,2.51,3.58,8.15
Biology,78.27,3.35,1.05,2.53
Literature,70.75,3.3,2.39,5.75
Literature,68.56,3.68,3.02,7.43
Physics,54.4,3.83,2.67,6.62
History,34.42,4.06,7.4,18.55
Biology,70.31,3.74,6.86,16.93
Chemistry,43.31,2.29,10.62,23.75
History,103.68,2.56,3.3,7.54
Biology,71.41,2.95,10.72,25.21
Biology,48.39,3.22,5.36,12.83
Math,47.77,4.55,0.95,2.43
Chemistry,58.14,2.34,1.67,3.75
Math,55.21,3.14,0.82,1.95
Physics,82.34,4.45,0.01,1.0
Math,63.73,3.2,0.62,1.48
CS,45.37,3.96,0.01,1.0
Math,97.81,3.36,3.82,9.23
CS,60.99,3.76,1.66,4.1
History,75.38,3.27,1.12,2.69
Literature,47.84,4.17,4.3,10.84
Geography,67.26,1.95,5.36,1.0
Geography,66.22,3.14,11.1,26.44
Biology,22.21,3.8,3.08,7.62
Geography,100.31,4.03,1.86,4.66
CS,85.81,4.99,1.09,2.83
Chemistry,52.06,3.11,0.75,1.78
Math,37.95,4.98,0.72,1.87
CS,66.95,2.84,1.58,3.69
Chemistry,61.73,4.83,14.41,37.26
Literature,67.11,4.32,0.0,1.0
Geography,63.83,2.59,0.66,1.51
Literature,70.12,3.81,0.63,1.56
Geography,88.95,3.45,3.79,9.2
Math,71.36,4.13,1.3,3.27
Physics,39.01,3.28,1.83,4.4
Math,87.25,3.19,0.48,1.15
History,92.81,4.87,1.56,4.04
CS,123.04,3.4,0.33,1.0
Biology,37.53,4.33,2.28,5.79
Physics,64.86,3.27,0.31,1.0
Math,18.36,5.0,4.69,12.19
Chemistry,71.06,2.82,2.51,5.85
Physics,49.04,2.89,3.86,9.04
CS,98.47,5.0,1.63,4.24
Geography,44.51,3.06,1.44,3.41
Physics,26.22,5.0,0.31,1.0
Geography,50.57,4.39,2.23,5.67
CS,20.49,3.35,2.17,5.24
Math,75.02,1.69,1.89,1.0
CS,18.7,3.48,4.05,9.85
Physics,60.57,3.6,5.36,13.13
Chemistry,18.44,4.67,4.17,10.72
Literature,53.59,5.0,0.47,1.22
Physics,92.87,2.82,2.92,6.81
CS,67.21,4.3,0.25,1.0
Literature,42.73,4.27,3.56,9.01
CS,59.38,4.57,1.44,3.69
Chemistry,60.36,4.0,0.43,1.08
CS,69.45,1.56,5.94,1.0
Math,32.66,3.34,2.86,6.9
Biology,71.85,2.34,1.31,2.94
Geography,5.91,3.3,0.09,1.0
Geography,47.4,4.48,2.31,5.9
Physics,50.23,3.81,7.7,19.07
Biology,72.67,4.65,2.72,6.99
CS,60.45,3.84,10.69,26.51
Chemistry,31.89,2.2,0.44,1.0
Physics,40.3,1.0,2.52,1.0
CS,63.97,3.65,4.8,11.79
Literature,58.42,3.29,2.24,5.39
History,48.42,2.52,0.29,1.0
CS,50.38,1.8,2.62,1.0
Biology,73.92,2.77,2.84,6.59
Physics,49.65,3.31,3.91,9.41
Biology,58.24,4.17,4.3,10.84
Physics,103.4,3.69,4.42,10.88
CS,31.53,5.0,3.27,8.5
Math,22.96,2.46,0.73,1.66
Literature,75.67,4.38,1.55,3.94
CS,46.43,3.55,4.49,10.96
Geography,53.64,4.19,9.2,23.2
Biology,44.38,3.06,0.25,1.0
History,54.8,4.57,2.3,5.89
History,91.97,3.8,1.12,2.77
Chemistry,76.04,2.82,0.77,1.79
Physics,77.24,3.49,2.11,5.13
Biology,31.68,3.26,2.79,6.7
Chemistry,36.98,3.99,0.03,1.0
Biology,3.22,2.32,4.55,10.2
Geography,43.81,3.47,5.14,12.49
Physics,79.13,3.9,10.1,25.13
CS,70.34,3.53,0.6,1.46
CS,55.57,4.85,2.71,7.01
History,59.55,4.27,1.67,4.23
CS,46.22,3.49,1.22,2.97
CS,64.1,3.72,2.5,6.16
Geography,75.32,3.8,4.58,11.34
Math,27.68,3.9,0.07,1.0
History,65.99,1.67,10.46,1.0
Chemistry,78.65,3.2,4.98,11.91
Literature,51.7,2.02,4.17,9.11
Math,74.01,4.78,4.29,11.07
Chemistry,116.29,3.44,1.48,3.59
Physics,57.91,3.31,4.18,10.06
Math,67.87,4.4,1.47,3.74
Geography,45.24,3.92,6.87,17.11
Chemistry,63.63,2.37,0.59,1.33
Physics,69.21,3.43,1.04,2.52
History,63.9,3.16,2.4,5.72
Literature,39.61,1.76,1.15,1.0
Physics,64.13,2.81,1.66,3.87
CS,89.24,3.32,2.03,4.89
Biology,68.97,3.39,5.82,14.08
Physics,79.24,2.02,2.22,4.85
Physics,55.26,4.65,1.35,3.47
Literature,75.0,3.4,0.85,2.06
Biology,65.59,3.54,1.58,3.86
CS,40.98,3.9,2.18,5.42
Chemistry,66.37,2.71,4.11,9.5
Chemistry,40.17,3.96,0.39,1.0
Physics,47.34,3.13,0.75,1.79
Geography,63.79,2.6,1.43,3.28
Geography,65.94,4.07,1.34,3.36
Biology,36.22,4.99,1.49,3.87
Biology,81.08,4.22,4.73,11.95
CS,71.44,4.42,1.18,3.01
Literature,45.91,2.98,2.09,4.93
History,29.25,1.9,2.93,1.0
Chemistry,57.1,4.99,0.79,2.05
Literature,51.08,5.0,3.8,9.88
Math,62.26,5.0,2.38,6.19
Chemistry,52.74,3.16,1.78,4.25
Literature,19.85,2.35,4.98,11.19
Chemistry,52.23,2.43,0.84,1.9
History,53.89,1.82,6.44,1.0
Math,72.67,3.39,2.47,5.98
Geography,46.04,5.0,2.82,7.33
